"Hostname","version","Build","manufacture","Model","cpu_model","core_num","totalmemoryMB"
"ppesx1.parramattassc.det.nsw.edu.au","4.0.0","208167","Hewlett-Packard","ProLiant DL360 G6","Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz","8","24566.24609375"
"ppesx2.parramattassc.det.nsw.edu.au","4.0.0","208167","Hewlett-Packard","ProLiant DL360 G6","Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz","8","24566.24609375"
