"VM","Cluster","Host","IP","NIC","Portgroups"
"hpvvcm003","Infra_Serv_H","huav11.unix.mgmt.det","192.168.16.154,153.107.24.119","2","vlan0024-sllsmpu01,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas1","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas1","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas1","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas1","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas1","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas2","Infra_Serv_H","huav11.unix.mgmt.det","","2","itbcorpapp,unix"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas2","Infra_Serv_H","huav11.unix.mgmt.det","","2","itbcorpapp,unix"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mas2","Infra_Serv_H","huav11.unix.mgmt.det","","2","itbcorpapp,unix"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mdb2","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mdb2","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"up-mdb2","Infra_Serv_H","huav10.unix.mgmt.det","","2","vlan0013-slnmsps02,vlan2016-sllsmtu00mgt-is"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"wdmscporc0001","Infra_Serv_H","huav10.unix.mgmt.det","192.168.20.31,153.107.52.32","2","vlan0052-slnmspu01,vlan2020-slnmspu01mgt"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"wdmscporc0002","Infra_Serv_H","huav11.unix.mgmt.det","192.168.20.32,153.107.52.33","2","vlan0052-slnmspu01,vlan2020-slnmspu01mgt"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"wdmscporc0011","Infra_Serv_H","huav10.unix.mgmt.det","192.168.20.33,153.107.52.34","2","vlan0052-slnmspu01,vlan2020-slnmspu01mgt"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"wpmscporc0011","Infra_Serv_H","huav11.unix.mgmt.det","192.168.20.30,153.107.52.31","2","vlan0052-slnmspu01,vlan2020-slnmspu01mgt"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
