NameVM,Created,Service,Managed By,System Owner,Notes
up-sbi-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sbi-d02,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-scr-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d02,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d03,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d04,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d05,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d06,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-d07,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
