NameVM,Created,Service,Managed By,System Owner,Notes
up-sbi-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-scr-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sep-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ser-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sgr-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-spi-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ssr-c01,13/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
