"Hostname","Cluster","version","Build","manufacture","Model","cpu_model","core_num","totalmemoryMB","P_nic"
"utvu06.unixu.mgmt.det","Test_Unsecured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvu05.unixu.mgmt.det","Test_Unsecured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvu07.unixu.mgmt.det","Test_Unsecured_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvu09.unixu.mgmt.det","Test_Unsecured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvu08.unixu.mgmt.det","Test_Unsecured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvls05.unixu.mgmt.det","Production_Linux_Secured_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvls06.unixu.mgmt.det","Production_Linux_Secured_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvls07.unixu.mgmt.det","Production_Linux_Secured_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvls09.unixu.mgmt.det","Production_Linux_Secured_U","5.0.0","623860","IBM","IBM System x -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","5"
"upvls10.unixu.mgmt.det","Production_Linux_Secured_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvls08.unixu.mgmt.det","Production_Linux_Secured_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"utvs11.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs12.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs01.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs13.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs02.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs14.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs15.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs09.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs07.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","5"
"utvs03.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs06.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs04.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs10.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs08.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs05.unixu.mgmt.det","Test_Secured_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"uvl4l04.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l09.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l02.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l05.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l06.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","BladeCenter HS22 -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l01.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l08.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l03.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"uvl4l07.corpservu.mgmt.det","L4L","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.6484375","4"
"utvs40.unixu.mgmt.det","Test_Secured_Plus_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvs41.unixu.mgmt.det","Test_Secured_Plus_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr02.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr03.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr04.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr05.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr06.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr01.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"utvlmbr08.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.03125","4"
"utvlmbr09.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.03125","4"
"utvlmbr10.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.03125","4"
"utvlmbr11.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.046875","4"
"utvlmbr07.unixu.mgmt.det","LMBR_NonProd_V5_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.03125","4"
"upvoa01.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa03.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa04.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","5"
"upvoa05.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa06.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa07.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa09.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa10.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa13.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa14.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa08.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa11.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa12.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvoa02.unixu.mgmt.det","Production_Oasis_U","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"upvwu35.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvwu36.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvwu37.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvwu38.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvwu39.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"upvwu41.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22v -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","5"
"upvwu42.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"upvwu40.unixu.mgmt.det","Production_Windows_Unsecured_2_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"updv07.unixu.mgmt.det","Prod_Sec_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"uimv03.unixu.mgmt.det","Prod_Sec_U","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
